Tournament,Year,Date,Location,Division,DivisionTier,Place,Award,GlasswareType,Team,Player1,Player2
"USA Roundnet National Team Qualifier — Atlanta","2022","2022-05-14","Marietta, GA, US","Men's 4.5-5.0+","Lower Division (Medals)",1,"🥇 Gold Medal","None","Assistive Touch","Clark Marshall","Buddy Hammon"
"USA Roundnet National Team Qualifier — Atlanta","2022","2022-05-14","Marietta, GA, US","Men's 4.5-5.0+","Lower Division (Medals)",2,"🥈 Silver Medal","None","Air Buds","Will Picone","Coleman Epperson"
"USA Roundnet National Team Qualifier — Atlanta","2022","2022-05-14","Marietta, GA, US","Men's 4.5-5.0+","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Finocchi/Model","Max Model","Gabe Finocchi"
"USA Roundnet National Team Qualifier — Atlanta","2022","2022-05-14","Marietta, GA, US","Men's 4.5-5.0+","Lower Division (Medals)",4,"4th Place (No Award)","None","Kingdom Come","Grant Klapwijk","Matthew Cole"
"USA Roundnet National Team Qualifier — Atlanta","2022","2022-05-14","Marietta, GA, US","Women's 4.5-5.0+","Lower Division (Medals)",1,"🥇 Gold Medal","None","TWINZ","Ali Jenki","Olivia Jenki"
"USA Roundnet National Team Qualifier — Atlanta","2022","2022-05-14","Marietta, GA, US","Women's 4.5-5.0+","Lower Division (Medals)",2,"🥈 Silver Medal","None","Graham/Rogers","Becca Graham","Alli Kauffman Rogers"
"USA Roundnet National Team Qualifier — Atlanta","2022","2022-05-14","Marietta, GA, US","Women's 4.5-5.0+","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Tile Swap","Sarah Allen","Julia Timan"
"Waco Major","2023","2023-02-18","Waco, TX, US","Advanced 4.0","Lower Division (Medals)",1,"🥇 Gold Medal","None","MFFLs","Jackson Oliver","Rhett Howe"
"Waco Major","2023","2023-02-18","Waco, TX, US","Advanced 4.0","Lower Division (Medals)",2,"🥈 Silver Medal","None","New Cut","Hayden Woolard","David Z"
"Waco Major","2023","2023-02-18","Waco, TX, US","Advanced 4.0","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Flummoxed","Robert Sellers","Dylan Jimenez"
"Waco Major","2023","2023-02-18","Waco, TX, US","Advanced 4.0","Lower Division (Medals)",4,"4th Place (No Award)","None","Every Day BBQ","Cooper Diaz","Kyle Daily"
"Waco Major","2023","2023-02-18","Waco, TX, US","Gold 5.0","Lower Division (Medals)",1,"🥇 Gold Medal","None","NEM Phantom","Tyler Fernandez","Caleb Cummings"
"Waco Major","2023","2023-02-18","Waco, TX, US","Gold 5.0","Lower Division (Medals)",2,"🥈 Silver Medal","None","WySpike FIFO","Matthew Burrows","Garrett Hornok"
"Waco Major","2023","2023-02-18","Waco, TX, US","Gold 5.0","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Chump Change","Fredric Hinkle","Grayson M  Wills"
"Waco Major","2023","2023-02-18","Waco, TX, US","Gold 5.0","Lower Division (Medals)",4,"4th Place (No Award)","None","WySpike Sweepers","Colton Mowry","Nick Noguez"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Mixed 4.5","Lower Division (Medals)",1,"🥇 Gold Medal","None","Don’t Touch Jenny","Karah Hui","Brandon Brown"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Mixed 4.5","Lower Division (Medals)",2,"🥈 Silver Medal","None","Assistant to the Chef ","Josh Fragiacomo","Christine Chang"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Mixed 4.5","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Wusil","Kayla Wu-Fleming","Dean Wasil"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Mixed 4.5","Lower Division (Medals)",4,"4th Place (No Award)","None","Circumcised Bread","Joelle Nguyen","John Choi"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Expert 5.0","Lower Division (Medals)",1,"🥇 Gold Medal","None","Whopper? I barely know her","Josh Cain","Nick Wideman"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Expert 5.0","Lower Division (Medals)",2,"🥈 Silver Medal","None","Quality Service","Jacob Payer","Andrew Kosche"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Expert 5.0","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Take it ez john","Ethan Zehr","John Choi"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Expert 5.0","Lower Division (Medals)",4,"4th Place (No Award)","None","JK.","Jason Rhoads","Kyan Kornfeld"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Contender 4.5","Lower Division (Medals)",1,"🥇 Gold Medal","None","Once Upon a Set","Jordan Guevara","Matt Sparks"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Contender 4.5","Lower Division (Medals)",2,"🥈 Silver Medal","None","Julian Baker Fan Club","Jai Parera","Arrow Griner"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Contender 4.5","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Water Ice","Marc Baldwin","Aaron Treece"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Contender 4.5","Lower Division (Medals)",4,"4th Place (No Award)","None","Awkward Freestyle","Mitch Kennamore","Ryan Pho"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Womens 4.5","Lower Division (Medals)",1,"🥇 Gold Medal","None","Morehouse/Lowe","Elle Lowe","Maddy Morehouse"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Womens 4.5","Lower Division (Medals)",2,"🥈 Silver Medal","None","FURY","Ashley Ortlip","Joelle Nguyen"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Womens 4.5","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Pristine sets and immaculate gets","Christine Chang","Perrin York"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Womens 4.5","Lower Division (Medals)",4,"4th Place (No Award)","None","Fire & Ice","Kayla Ngai","Sebastiani Kim"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Advanced 2.0+","Lower Division (Medals)",1,"🥇 Gold Medal","None","M&M","Michael Martinson","Maranda Gutierrez"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Advanced 2.0+","Lower Division (Medals)",2,"🥈 Silver Medal","None","Hawgz","Will Emenger","D’Angelo Bailey"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Advanced 2.0+","Lower Division (Medals)",3,"🥉 Bronze Medal","None","How I set your mother","Evan F","Nick T"
"Stanton Open #1 - California Roundnet","2023","2023-03-18","Stanton, CA, US","Advanced 2.0+","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Alec & Sarah","Alec Matulka 'student'","Julian Baker"
"San Jose Open #2 -California Roundnet","2023","2023-04-01","Stanford, CA, US","Expert 4.0-5.0","Lower Division (Medals)",1,"🥇 Gold Medal","None","Shifty","Samuel Buckman","Trevor Barbosa"
"San Jose Open #2 -California Roundnet","2023","2023-04-01","Stanford, CA, US","Expert 4.0-5.0","Lower Division (Medals)",2,"🥈 Silver Medal","None","Oswalt / Schrag","Ryan Oswalt","Nathaniel Schrag"
"San Jose Open #2 -California Roundnet","2023","2023-04-01","Stanford, CA, US","Expert 4.0-5.0","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Degenerational Wealth","brandon brown","Jason Rhoads"
"San Jose Open #2 -California Roundnet","2023","2023-04-01","Stanford, CA, US","Expert 4.0-5.0","Lower Division (Medals)",4,"4th Place (No Award)","None","Josh","Josh Cain","Josh Fragiacomo"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Women's (3.0-5.0)","Lower Division (Medals)",1,"🥇 Gold Medal","None","Impulsive","Kalin Morgan","Olivia Jenki"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Women's (3.0-5.0)","Lower Division (Medals)",2,"🥈 Silver Medal","None","Cat Daddies","Sarah Allen","Ali Jenki"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Women's (3.0-5.0)","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Morehouse/Pierson","Katie Pierson","Maddy Morehouse"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Women's (3.0-5.0)","Lower Division (Medals)",4,"4th Place (No Award)","None","Space Monkeys 🚀🐒","Stef Ding","Rafaela Bastos"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Mixed Intermediate (3.0)","Lower Division (Medals)",1,"🥇 Gold Medal","None","Lulu Limón","Julie Orozco","Luis Orozco"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Mixed Intermediate (3.0)","Lower Division (Medals)",2,"🥈 Silver Medal","None","Sass to the Grass","Tim Daudelin","Katrina Gabriella"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Mixed Intermediate (3.0)","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Wics","Laura Castro","Jon Do"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Mixed Intermediate (3.0)","Lower Division (Medals)",4,"4th Place (No Award)","None","Better late then never","Chris Perez","Brayden Einhaus"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Intermediate (Open 3.0)","Lower Division (Medals)",1,"🥇 Gold Medal","None","Mello Yello","Brandon Depara","John Gomez"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Intermediate (Open 3.0)","Lower Division (Medals)",2,"🥈 Silver Medal","None","visor bois","James Lightner","Paul Smith"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Intermediate (Open 3.0)","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Mirinda","Frederik Hardervig","Evan Karcher"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Intermediate (Open 3.0)","Lower Division (Medals)",4,"4th Place (No Award)","None","[HRN] Shenanigans","Kelvin Xiao","Cesar Escalante"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Contender (Open 4.5)","Lower Division (Medals)",1,"🥇 Gold Medal","None","Round 2 #notkayne","Alex Cook","Benjamin Goldfarb"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Contender (Open 4.5)","Lower Division (Medals)",2,"🥈 Silver Medal","None","Y’all spike eh?","Nick Wideman","Ian Austin"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Contender (Open 4.5)","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Sauerkraut","Timo Lorenzen","Joshua Travis"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Contender (Open 4.5)","Lower Division (Medals)",4,"4th Place (No Award)","None","E10","Bradley Clark","Daniel Haungs"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Premier (5.0)","Lower Division (Medals)",1,"🥇 Gold Medal","None","Mermaid Sparkle","Christian Bennett","Noah Luskus"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Premier (5.0)","Lower Division (Medals)",2,"🥈 Silver Medal","None","Insystem","Etienne Cote","Blake Bosak"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Premier (5.0)","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Clean Combo","Rahul Murthy","Ryan Gross"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Premier (5.0)","Lower Division (Medals)",4,"4th Place (No Award)","None","TRP Empty Set","Max Model","Dan Abrams"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Mixed Advanced (4.5)","Lower Division (Medals)",1,"🥇 Gold Medal","None","Mixed Signals","Etienne Cote","Katie Pierson"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Mixed Advanced (4.5)","Lower Division (Medals)",2,"🥈 Silver Medal","None","Jawdroppers","Sarah Allen","Christian Bennett"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Mixed Advanced (4.5)","Lower Division (Medals)",3,"🥉 Bronze Medal","None","That was too easy","Kyle Ackermann","Teddi Lesoine"
"Florida Roundnet Open - Spikeball Challenger 2023","2023","2023-04-01","Fleming Island, FL, US","Mixed Advanced (4.5)","Lower Division (Medals)",4,"4th Place (No Award)","None","MAD Jelly","Ali Jenki","Coleman Epperson"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Women's Advanced 4.0+","Lower Division (Medals)",1,"🥇 Gold Medal","None","TWINZ","Ali Jenki","Olivia Jenki"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Women's Advanced 4.0+","Lower Division (Medals)",2,"🥈 Silver Medal","None","Zoomies","Allie Foster","Karah Hui"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Women's Advanced 4.0+","Lower Division (Medals)",3,"🥉 Bronze Medal","None","No Hype","Malia Sato","Maddy Morehouse"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Women's Advanced 4.0+","Lower Division (Medals)",4,"4th Place (No Award)","None","Tile Swap","Sarah Allen","Julia Timan"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Contender 4.5+","Lower Division (Medals)",1,"🥇 Gold Medal","None","Slow Jamz","Kevin McClain","Thomas Hoffman"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Contender 4.5+","Lower Division (Medals)",2,"🥈 Silver Medal","None","IputthedopeinthebackofthecarandItellhtg","Stephen Jones","Ryan Coen"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Contender 4.5+","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Sucky Sucky is good","Thomas Estella","Javier Vidal"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Contender 4.5+","Lower Division (Medals)",4,"4th Place (No Award)","None","True Outcome ","Bransen Eppes","Sam Kilinski"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Women's Intermediate 2.0-3.0","Lower Division (Medals)",1,"🥇 Gold Medal","None","Women in Stem","lauren viado","Bel Belvedere"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Women's Intermediate 2.0-3.0","Lower Division (Medals)",2,"🥈 Silver Medal","None","Sneak Peak","Amanda Jamieson","Courtney Circone"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Women's Intermediate 2.0-3.0","Lower Division (Medals)",3,"🥉 Bronze Medal","None","It has pockets!","Samantha Daniell","Hannah Covell"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Women's Intermediate 2.0-3.0","Lower Division (Medals)",4,"4th Place (No Award)","None","Bleep","Courtney Coppage","Abigail Lannetti"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Intermediate 3.0","Lower Division (Medals)",1,"🥇 Gold Medal","None","Receive These Balls","Kadin Cochran","Jared Gilbert"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Intermediate 3.0","Lower Division (Medals)",2,"🥈 Silver Medal","None","Bron Squad","Eric Nissen","Rakitha Chelliah"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Intermediate 3.0","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Spike Tyson","Sebastian Diaz","Daden Goldfinger"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Intermediate 3.0","Lower Division (Medals)",4,"4th Place (No Award)","None","Splash Bros","Trace Bow","Nathan Clark"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Mixed Advanced 4.0+","Lower Division (Medals)",1,"🥇 Gold Medal","None","Golden Hour","Olivia Jenki","Will Picone"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Mixed Advanced 4.0+","Lower Division (Medals)",2,"🥈 Silver Medal","None","TRP subtle","Joe Bondi","Ali Jenki"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Mixed Advanced 4.0+","Lower Division (Medals)",3,"🥉 Bronze Medal","None","pinto.","Karah Hui","Ryan Gross"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Mixed Advanced 4.0+","Lower Division (Medals)",4,"4th Place (No Award)","None","Gabraham Lincoln, Nebraska","Sarah Allen","Gabe Finocchi"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Mixed Intermediate 2.0-3.0","Lower Division (Medals)",1,"🥇 Gold Medal","None","Two broke girls","Sean Caufield","Jenelle Dumais"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Mixed Intermediate 2.0-3.0","Lower Division (Medals)",2,"🥈 Silver Medal","None","Monsters vs. Aliens","Joseph Motto","Brenna Allred"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Mixed Intermediate 2.0-3.0","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Hi👋","Courtney Coppage","Jacob Arzaga"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Mixed Intermediate 2.0-3.0","Lower Division (Medals)",4,"4th Place (No Award)","None","negative cut","Brooks Weeks","Katheleen Phan"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Advanced 4.0","Lower Division (Medals)",1,"🥇 Gold Medal","None","Partly Cloudy","Daniel Reynolds","Brock Lodato"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Advanced 4.0","Lower Division (Medals)",2,"🥈 Silver Medal","None","Glen Did It","sam greathouse","Jeremy Lutz"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Advanced 4.0","Lower Division (Medals)",3,"🥉 Bronze Medal","None","STEEZY","Dillon McKay","Cameron McKay"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Advanced 4.0","Lower Division (Medals)",4,"4th Place (No Award)","None","Setting Masterclass","Jake Spinelli","Eli Bak"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Premier 5.0+","Lower Division (Medals)",1,"🥇 Gold Medal","None","Rogue","Thomas Hamilton","Ryan Marino"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Premier 5.0+","Lower Division (Medals)",2,"🥈 Silver Medal","None","TRP Spotless","Joe Bondi","Ryan Gross"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Premier 5.0+","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Judgment Day","Gabriel Finocchi","fredric hinkle"
"The Richmond Major 2023","2023","2023-04-15","Midlothian, VA, US","Premier 5.0+","Lower Division (Medals)",4,"4th Place (No Award)","None","Kingdom Come","Grant Klapwijk","Matthew Cole"
"TASR Houston Major","2023","2023-04-29","Houston, TX, US","Gold 5.0","Lower Division (Medals)",1,"🥇 Gold Medal","None","Cerebral Drizzle","Brian Childs","Matthew Burrows"
"TASR Houston Major","2023","2023-04-29","Houston, TX, US","Gold 5.0","Lower Division (Medals)",2,"🥈 Silver Medal","None","nap","Nickhil Anantha","Caleb Cummings"
"TASR Houston Major","2023","2023-04-29","Houston, TX, US","Gold 5.0","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Single Clutch","Grayson M  Wills","Rahul Murthy"
"TASR Houston Major","2023","2023-04-29","Houston, TX, US","Gold 5.0","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Heroes and Villains","Tyler Fernandez","Andrew Christmas"
"TASR Houston Major","2023","2023-04-29","Houston, TX, US","Advanced 4.0","Lower Division (Medals)",1,"🥇 Gold Medal","None","Lab rats","Samuel Cole","Michael Milliorn"
"TASR Houston Major","2023","2023-04-29","Houston, TX, US","Advanced 4.0","Lower Division (Medals)",2,"🥈 Silver Medal","None","Flummoxed","Robert Sellers","Dylan Jimenez"
"TASR Houston Major","2023","2023-04-29","Houston, TX, US","Advanced 4.0","Lower Division (Medals)",3,"🥉 Bronze Medal","None","SS's","Sricharan Modali","saikumar vummuti"
"TASR Houston Major","2023","2023-04-29","Houston, TX, US","Advanced 4.0","Lower Division (Medals)",3,"🥉 Bronze Medal","None","SpikeMachas","Aravindhan P","Narender Reddy"
"The Thousand Oaks Grand Slam - Spikeball Challenger 2023","2023","2023-05-06","Thousand Oaks, CA, US","Expert 5.0+","Lower Division (Medals)",1,"🥇 Gold Medal","None","Muscle Mommy","Noah Luskus","Blake Bosak"
"The Thousand Oaks Grand Slam - Spikeball Challenger 2023","2023","2023-05-06","Thousand Oaks, CA, US","Expert 5.0+","Lower Division (Medals)",2,"🥈 Silver Medal","None","Three Crowns","Warren Foote","Samuel Buckman"
"The Thousand Oaks Grand Slam - Spikeball Challenger 2023","2023","2023-05-06","Thousand Oaks, CA, US","Expert 5.0+","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Taylor and Xande","Xande Plaisted","Taylor Church"
"The Thousand Oaks Grand Slam - Spikeball Challenger 2023","2023","2023-05-06","Thousand Oaks, CA, US","Expert 5.0+","Lower Division (Medals)",4,"4th Place (No Award)","None","Woooooo","Nick Wideman","Etienne Cote"
"The Thousand Oaks Grand Slam - Spikeball Challenger 2023","2023","2023-05-06","Thousand Oaks, CA, US","Contender 4.5","Lower Division (Medals)",1,"🥇 Gold Medal","None","Gatekeeping Rafi","Zach Bergevin","Arrow Griner"
"The Thousand Oaks Grand Slam - Spikeball Challenger 2023","2023","2023-05-06","Thousand Oaks, CA, US","Contender 4.5","Lower Division (Medals)",2,"🥈 Silver Medal","None","Strangely embracing a man from Chico","Jarratt Rouse","Skyler Boles"
"The Thousand Oaks Grand Slam - Spikeball Challenger 2023","2023","2023-05-06","Thousand Oaks, CA, US","Contender 4.5","Lower Division (Medals)",3,"🥉 Bronze Medal","None","non responsive","Andrew Greer","Kannon Forbush"
"The Thousand Oaks Grand Slam - Spikeball Challenger 2023","2023","2023-05-06","Thousand Oaks, CA, US","Contender 4.5","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Dive Hard","Cole Sanchez","Nolan Wynkoop"
"The Thousand Oaks Grand Slam - Spikeball Challenger 2023","2023","2023-05-06","Thousand Oaks, CA, US","Womens 4.0+","Lower Division (Medals)",1,"🥇 Gold Medal","None","2k•","Kayla Wu-Fleming","Karah Hui"
"The Thousand Oaks Grand Slam - Spikeball Challenger 2023","2023","2023-05-06","Thousand Oaks, CA, US","Womens 4.0+","Lower Division (Medals)",2,"🥈 Silver Medal","None","No Hype","Malia Sato","Maddy Morehouse"
"The Thousand Oaks Grand Slam - Spikeball Challenger 2023","2023","2023-05-06","Thousand Oaks, CA, US","Womens 4.0+","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Savage/Nguyen","Joelle Nguyen","Kirstie Savage"
"The Thousand Oaks Grand Slam - Spikeball Challenger 2023","2023","2023-05-06","Thousand Oaks, CA, US","Womens 4.0+","Lower Division (Medals)",4,"4th Place (No Award)","None","ellelowe sebmarine","Sebastiani Kim","Elle Lowe"
"The Thousand Oaks Grand Slam - Spikeball Challenger 2023","2023","2023-05-06","Thousand Oaks, CA, US","Mixed 4.0+","Lower Division (Medals)",1,"🥇 Gold Medal","None","TRP Sickest Beasts","Dan Abrams","Karah Hui"
"The Thousand Oaks Grand Slam - Spikeball Challenger 2023","2023","2023-05-06","Thousand Oaks, CA, US","Mixed 4.0+","Lower Division (Medals)",2,"🥈 Silver Medal","None","Fresh Prince of DeLair","Judy Tian","Blake Bosak"
"The Thousand Oaks Grand Slam - Spikeball Challenger 2023","2023","2023-05-06","Thousand Oaks, CA, US","Mixed 4.0+","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Camille/Xande","Camille Anderson","Xande Plaisted"
"The Thousand Oaks Grand Slam - Spikeball Challenger 2023","2023","2023-05-06","Thousand Oaks, CA, US","Mixed 4.0+","Lower Division (Medals)",4,"4th Place (No Award)","None","Be Nice, Get Engaged, Take Acid","Trevor Barbosa","Kayla Wu-Fleming"
"The Salt Lake City Major 2023","2023","2023-06-03","Herriman, UT, US","Intermediate/Advanced 3.0-4.0","Lower Division (Medals)",1,"🥇 Gold Medal","None","ASL Flemming/Peterson ","Evan Flemming","Grady Peterson"
"The Salt Lake City Major 2023","2023","2023-06-03","Herriman, UT, US","Intermediate/Advanced 3.0-4.0","Lower Division (Medals)",2,"🥈 Silver Medal","None","Silly Gooses","Chris Sorensen","Sidney Parker"
"The Salt Lake City Major 2023","2023","2023-06-03","Herriman, UT, US","Intermediate/Advanced 3.0-4.0","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Brim Breakers","Devin Perkins","Miles Egbert"
"The Salt Lake City Major 2023","2023","2023-06-03","Herriman, UT, US","Intermediate/Advanced 3.0-4.0","Lower Division (Medals)",4,"4th Place (No Award)","None","Hart/Whittier","Korven Whittier","Peter Hart"
"The Salt Lake City Major 2023","2023","2023-06-03","Herriman, UT, US","Premier 5.0+","Lower Division (Medals)",1,"🥇 Gold Medal","None","TRP Moneyline","Ryder Rivadeneyra","Matthew Cole"
"The Salt Lake City Major 2023","2023","2023-06-03","Herriman, UT, US","Premier 5.0+","Lower Division (Medals)",2,"🥈 Silver Medal","None","Judgment Day","Gabriel Finocchi","fredric hinkle"
"The Salt Lake City Major 2023","2023","2023-06-03","Herriman, UT, US","Premier 5.0+","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Insystem","Etienne Cote","Blake Bosak"
"The Salt Lake City Major 2023","2023","2023-06-03","Herriman, UT, US","Premier 5.0+","Lower Division (Medals)",4,"4th Place (No Award)","None","Bad Combo","Will Picone","Rahul Murthy"
"The Salt Lake City Major 2023","2023","2023-06-03","Herriman, UT, US","Women's Advanced 4.0+","Lower Division (Medals)",1,"🥇 Gold Medal","None","K2.","Katie Pierson","Laura Kunzelmann"
"The Salt Lake City Major 2023","2023","2023-06-03","Herriman, UT, US","Women's Advanced 4.0+","Lower Division (Medals)",2,"🥈 Silver Medal","None","TWINZ","Ali Jenki","Olivia Jenki"
"The Salt Lake City Major 2023","2023","2023-06-03","Herriman, UT, US","Women's Advanced 4.0+","Lower Division (Medals)",3,"🥉 Bronze Medal","None","2k•","Kayla Wu-Fleming","Karah Hui"
"The Salt Lake City Major 2023","2023","2023-06-03","Herriman, UT, US","Women's Advanced 4.0+","Lower Division (Medals)",4,"4th Place (No Award)","None","Anderson/Savage","Camille Anderson","Kirstie Savage"
"The Salt Lake City Major 2023","2023","2023-06-03","Herriman, UT, US","Mixed Advanced 4.0+","Lower Division (Medals)",1,"🥇 Gold Medal","None","Golden Hour","Olivia Jenki","Will Picone"
"The Salt Lake City Major 2023","2023","2023-06-03","Herriman, UT, US","Mixed Advanced 4.0+","Lower Division (Medals)",2,"🥈 Silver Medal","None","TRP subtle","Joe Bondi","Ali Jenki"
"The Salt Lake City Major 2023","2023","2023-06-03","Herriman, UT, US","Mixed Advanced 4.0+","Lower Division (Medals)",3,"🥉 Bronze Medal","None","Mixed Signals","Etienne Cote","Katie Pierson"
